type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-03-28 15:24:19,12.84390893,77.66315992,4,846.901,,0.830,89,27,44,20220328-205419,GPS Logger: 20220328-205419 - rawData3
T,2022-03-28 15:24:20,12.84390598,77.66316758,4,846.542,,0.740,89,28,44,,
T,2022-03-28 15:24:21,12.84390112,77.66317410,4,846.400,,0.650,89,27,44,,
T,2022-03-28 15:24:22,12.84389593,77.66317949,4,846.094,,0.510,89,25,44,,
T,2022-03-28 15:24:23,12.84389043,77.66318521,4,846.657,,0.740,122,25,43,,
T,2022-03-28 15:24:24,12.84388432,77.66319064,4,846.732,,0.710,123,25,44,,
T,2022-03-28 15:24:25,12.84387756,77.66319435,4,846.501,,0.670,123,25,44,,
T,2022-03-28 15:24:26,12.84386939,77.66319709,4,846.773,,0.900,160,24,44,,
T,2022-03-28 15:24:27,12.84386056,77.66320028,4,846.619,,0.890,159,25,44,,
T,2022-03-28 15:24:28,12.84385135,77.66320455,4,846.855,,1.090,154,25,44,,
T,2022-03-28 15:24:29,12.84384224,77.66320893,4,846.470,,0.910,154,24,44,,
T,2022-03-28 15:24:30,12.84383355,77.66321071,4,845.954,,0.970,155,23,44,,
T,2022-03-28 15:24:31,12.84382528,77.66321106,4,846.243,,0.840,173,24,44,,
T,2022-03-28 15:24:32,12.84381720,77.66321115,4,846.024,,0.870,173,24,44,,
T,2022-03-28 15:24:33,12.84380909,77.66321209,4,845.965,,0.920,174,23,44,,
T,2022-03-28 15:24:34,12.84379877,77.66321290,4,845.482,,1.290,183,23,44,,
T,2022-03-28 15:24:35,12.84378801,77.66321384,4,845.738,,1.100,173,23,44,,
T,2022-03-28 15:24:36,12.84377814,77.66321504,4,845.513,,1.110,181,23,44,,
T,2022-03-28 15:24:37,12.84376819,77.66321776,4,845.826,,1.150,173,22,44,,
T,2022-03-28 15:24:38,12.84375907,77.66322202,4,845.911,,1.090,154,23,44,,
T,2022-03-28 15:24:39,12.84375085,77.66322722,4,845.643,,1.020,155,22,44,,
T,2022-03-28 15:24:40,12.84374266,77.66323245,4,845.780,,1.020,154,21,44,,
T,2022-03-28 15:24:41,12.84373575,77.66323884,4,845.989,,0.900,154,21,44,,
T,2022-03-28 15:24:42,12.84372962,77.66324769,4,846.212,,1.140,125,21,44,,
T,2022-03-28 15:24:43,12.84372494,77.66325860,4,846.370,,0.920,125,21,44,,
T,2022-03-28 15:24:45,12.84371950,77.66327811,4,846.529,,0.930,112,21,44,,
T,2022-03-28 15:24:46,12.84371653,77.66328818,4,846.427,,0.970,112,21,44,,
T,2022-03-28 15:24:47,12.84371378,77.66329866,4,846.493,,0.940,112,23,44,,
T,2022-03-28 15:24:48,12.84371167,77.66330937,4,846.815,,0.980,111,23,44,,
T,2022-03-28 15:24:49,12.84370976,77.66332007,4,847.041,,0.960,102,23,44,,
T,2022-03-28 15:24:50,12.84370829,77.66333061,4,847.260,,1.020,102,24,44,,
T,2022-03-28 15:24:51,12.84370744,77.66334091,4,847.666,,0.940,102,23,44,,
T,2022-03-28 15:24:52,12.84370656,77.66335150,4,847.705,,1.130,103,23,44,,
T,2022-03-28 15:24:53,12.84370608,77.66336225,4,848.191,,0.980,100,21,44,,
T,2022-03-28 15:24:54,12.84370586,77.66337193,4,848.283,,0.900,100,21,44,,
T,2022-03-28 15:24:55,12.84370537,77.66338226,4,848.547,,0.990,100,23,44,,
T,2022-03-28 15:24:56,12.84370431,77.66339340,4,849.284,,1.130,102,23,44,,
T,2022-03-28 15:24:57,12.84370352,77.66340433,4,849.588,,1.000,102,23,44,,
T,2022-03-28 15:24:58,12.84370291,77.66341429,4,849.654,,1.010,102,23,44,,
T,2022-03-28 15:24:59,12.84370249,77.66342410,4,849.965,,0.960,102,23,44,,
T,2022-03-28 15:25:00,12.84370225,77.66343282,4,850.090,,0.890,102,24,44,,
T,2022-03-28 15:25:01,12.84370198,77.66344155,4,850.151,,0.970,101,24,44,,
T,2022-03-28 15:25:02,12.84370170,77.66345031,4,850.226,,0.920,101,25,44,,
T,2022-03-28 15:25:03,12.84370150,77.66346052,4,850.870,,1.210,101,25,44,,
